Date,Return MSFT,Return S&P,Return T-Bill
04/17/2019,-0.013520077720207269,0.0038061449435106715,0.026153846153846153
04/16/2019,-0.0016413623307344164,-0.0014240370592777574,0.026153846153846153
04/15/2019,-0.0005754212905878125,-0.0022679633002301233,0.026153846153846153
04/12/2019,-0.004935022207599888,0.00041329429998279504,0.026153846153846153
04/11/2019,-0.0010745577781452278,-0.005611595001205123,0.026153846153846153
04/10/2019,-0.004137360364087712,-0.0015583021742139717,0.026153846153846153
04/09/2019,-0.006730369754881497,-0.0010745868700673198,0.026153846153846153
04/08/2019,0.00401539233729287,0.0028811441266316335,0.026153846153846153
04/05/2019,0.0017497083819364102,-0.0009691599460040481,0.026153846153846153
04/04/2019,0.0,-0.0040570973218306905,0.026153846153846153
04/03/2019,0.0016634783331947337,0.0010471058481383005,0.026153846153846153
04/02/2019,-0.007888399900357078,-0.005316930775646277,0.026153846153846153
04/01/2019,-0.0031093069969869223,-0.000244558571777917,0.026153846153846153
03/29/2019,-0.0066200145245722455,-0.011601901034386531,0.026373626373626374
03/28/2019,-0.006254225828262297,-0.005762975533870724,0.026373626373626374
03/27/2019,0.0053580540908317355,0.001955833718573349,0.026373626373626374
03/26/2019,0.004187462989594827,0.0014906303236797839,0.026373626373626374
03/25/2019,-0.005854850259045476,-0.007068892196470419,0.026373626373626374
03/22/2019,0.013388695873231066,0.012913239916583871,0.026373626373626374
03/21/2019,0.010285140898068314,0.004850540902610737,0.026373626373626374
03/20/2019,-0.017132925012415107,-0.005891016200294575,0.026373626373626374
03/19/2019,-0.002610526315789493,0.003033509700176415,0.026373626373626374
03/18/2019,-0.007007767646065504,-0.0059783373188915055,0.026373626373626374
03/15/2019,-0.0030609642037241684,-0.0015920186796860023,0.026373626373626374
03/14/2019,-0.017484008528784623,-0.0013110804011197497,0.026373626373626374
03/13/2019,-0.0017361111111111357,0.0019159806982685938,0.026373626373626374
03/12/2019,-0.008782608695652219,-0.008180466038671301,0.026373626373626374
03/11/2019,-0.009123607333976595,-0.005177277109294064,0.026373626373626374
03/08/2019,-0.01983178397521035,-0.014248797645538824,0.026373626373626374
03/07/2019,0.007587390479631501,0.008519934462042716,0.026373626373626374
03/06/2019,0.00995069475571492,0.0078342178417994,0.026373626373626374
03/05/2019,-0.002396591514290751,0.002149305058031114,0.026373626373626374
03/04/2019,0.007651926327965117,0.007542179010580546,0.026373626373626374
03/01/2019,-0.0020309050772627283,-0.003512257423635041,0.026373626373626374
02/28/2019,-0.0012387188108299466,-0.005091142124750808,0.026263736263736265
02/27/2019,-0.004606661941885153,0.0005009840758632542,0.026263736263736265
02/26/2019,0.00783196867212527,0.0025394327407991576,0.026263736263736265
02/25/2019,-0.009360649947015085,0.0036032821976453473,0.026263736263736265
02/22/2019,-0.0087359600641826,-0.006931854537698584,0.026263736263736265
02/21/2019,-0.015467625899280565,-0.004510309278350483,0.026263736263736265
02/20/2019,-0.014066496163682921,0.002948579647608749,0.026263736263736265
02/19/2019,0.006670372429127282,-0.0012189875233042872,0.026263736263736265
02/15/2019,-0.0033130866924351134,-0.0041998707732068315,0.026263736263736265
02/14/2019,-0.009325946445059935,-0.0063804477127718485,0.026263736263736265
02/13/2019,0.004567061235902645,0.0010520969380351925,0.026263736263736265
02/12/2019,-0.005938021896455748,-0.0051099916645526945,0.026263736263736265
02/11/2019,-0.005226806048161305,-0.011037447180533197,0.026263736263736265
02/08/2019,-0.007506098705197947,-0.003351872997163892,0.026263736263736265
02/07/2019,-0.001796180752505178,0.0035848917140957476,0.026263736263736265
02/06/2019,0.013353537266786595,0.006591787884367386,0.026263736263736265
02/05/2019,0.002523364485981271,0.00036584473549433947,0.026263736263736265
02/04/2019,-0.013703738230632973,-0.005156524283206645,0.026263736263736265
02/01/2019,-0.016068998109640756,-0.003051134066095593,0.026263736263736265
01/31/2019,0.010759856637710445,-0.0026917404129792087,0.026043956043956044
01/30/2019,0.01102452005322179,-0.007209672052353479,0.026043956043956044
01/29/2019,-0.013254371122391395,-0.01478474601519429,0.026043956043956044
01/28/2019,0.014385062398780653,-0.0027216027216028244,0.026043956043956044
01/25/2019,0.01314800901577753,0.010878217033695958,0.026043956043956044
01/24/2019,-0.008157211716722242,-0.009373828271466067,0.026043956043956044
01/23/2019,0.000373831775700993,0.002233156699470219,0.026043956043956044
01/22/2019,0.0005605381165918167,0.0010196759696362468,0.026043956043956044
01/18/2019,0.007469654528478164,0.007243642948766377,0.026043956043956044
01/17/2019,-0.011816496756255844,-0.01146153269907859,0.026043956043956044
01/16/2019,-0.0034701055099648727,-0.007401485298575279,0.026043956043956044
01/15/2019,-0.0113406427932803,-0.004834967511125614,0.026043956043956044
01/14/2019,-0.020736792003807677,-0.009205983889528107,0.026043956043956044
01/11/2019,0.005525334494651555,0.0027479674796746915,0.026043956043956044
